"","Player","Age","Team","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards","Season","Player.additional","College","height","weight","Pos_C","Pos_F","Pos_G","Pos_SG"
"3968","Jeremy Lamb",0.192307692307692,"CHO",0.773809523809524,0,0.42093023255814,0.286885245901639,0.283088235294118,0.451,0.150943396226415,0.204545454545455,0.309,0.236363636363636,0.225225225225225,0.529,0.337333333333333,0.0980392156862745,0.105691056910569,0.727,0.12962962962963,0.280701754385965,0.2375,0.102564102564103,0.2,0.135135135135135,0.140350877192982,0.266666666666667,0.243767313019391,NA,"15-16","lambje01","Connecticut",0.48,0.229074889867841,0,0,0,1
"3969","Toney Douglas",0.423076923076923,"NOP",0.714285714285714,0.216867469879518,0.469767441860465,0.245901639344262,0.268382352941176,0.411,0.245283018867925,0.25,0.399,0.154545454545455,0.18018018018018,0.421,0.334666666666667,0.137254901960784,0.130081300813008,0.848,0.0740740740740741,0.166666666666667,0.14375,0.222222222222222,0.366666666666667,0.027027027027027,0.175438596491228,0.35,0.240997229916897,NA,"15-16","douglto01","Florida State",0.36,0.273127753303965,0,0,1,0
"3970","Gerald Henderson",0.384615384615385,"POR",0.845238095238095,0,0.451162790697674,0.262295081967213,0.268382352941176,0.439,0.132075471698113,0.143939393939394,0.353,0.236363636363636,0.247747747747748,0.468,0.322666666666667,0.156862745098039,0.16260162601626,0.767,0.0740740740740741,0.219298245614035,0.18125,0.0854700854700855,0.166666666666667,0.0810810810810811,0.157894736842105,0.2,0.240997229916897,NA,"15-16","hendege02","Duke",0.48,0.361233480176211,0,0,0,1
"3971","Tyler Johnson",0.192307692307692,"MIA",0.416666666666667,0.0602409638554217,0.546511627906977,0.270491803278689,0.25,0.486,0.150943396226415,0.151515151515152,0.38,0.227272727272727,0.216216216216216,0.529,0.360666666666667,0.137254901960784,0.146341463414634,0.797,0.148148148148148,0.201754385964912,0.1875,0.188034188034188,0.233333333333333,0.108108108108108,0.228070175438596,0.3,0.240997229916897,NA,"15-16","johnsty01","Fresno State",0.44,0.233480176211454,0,0,0,1
"3972","Terrence Jones",0.230769230769231,"HOU",0.583333333333333,0.132530120481928,0.474418604651163,0.270491803278689,0.268382352941176,0.452,0.0943396226415094,0.121212121212121,0.316,0.254545454545455,0.261261261261261,0.49,0.324,0.147058823529412,0.186991869918699,0.664,0.222222222222222,0.263157894736842,0.2625,0.0683760683760684,0.166666666666667,0.216216216216216,0.175438596491228,0.283333333333333,0.240997229916897,NA,"15-16","joneste01","Kentucky",0.64,0.524229074889868,0,1,0,0
"3973","Luis Scola",0.653846153846154,"TOR",0.892857142857143,0.91566265060241,0.488372093023256,0.286885245901639,0.290441176470588,0.45,0.169811320754717,0.159090909090909,0.404,0.245454545454545,0.261261261261261,0.467,0.336,0.0784313725490196,0.0894308943089431,0.726,0.203703703703704,0.31578947368421,0.29375,0.0769230769230769,0.2,0.108108108108108,0.157894736842105,0.383333333333333,0.240997229916897,NA,"15-16","scolalu01","None",0.64,0.47136563876652,0,1,0,0
"3974","Cody Zeller",0.192307692307692,"CHO",0.857142857142857,0.72289156626506,0.553488372093023,0.262295081967213,0.220588235294118,0.529,0,0.00757575757575758,0.1,0.290909090909091,0.261261261261261,0.539,0.353333333333333,0.235294117647059,0.260162601626016,0.754,0.351851851851852,0.37719298245614,0.3875,0.0854700854700855,0.266666666666667,0.243243243243243,0.157894736842105,0.466666666666667,0.240997229916897,NA,"15-16","zelleco01","Indiana",0.76,0.47136563876652,1,0,0,0
"3975","Shelvin Mack",0.269230769230769,"2TM",0.607142857142857,0.325301204819277,0.46046511627907,0.286885245901639,0.294117647058824,0.439,0.150943396226415,0.181818181818182,0.312,0.254545454545455,0.252252252252252,0.493,0.324,0.0882352941176471,0.0975609756097561,0.738,0.0555555555555556,0.192982456140351,0.15625,0.307692307692308,0.233333333333333,0.027027027027027,0.31578947368421,0.233333333333333,0.238227146814404,NA,"15-16","macksh01","Butler",0.4,0.308370044052863,0,0,1,0
"3976","Tim Duncan",0.807692307692308,"SAS",0.714285714285714,0.72289156626506,0.574418604651163,0.286885245901639,0.264705882352941,0.488,0,0,0,0.318181818181818,0.324324324324324,0.49,0.325333333333333,0.147058823529412,0.170731707317073,0.702,0.351851851851852,0.473684210526316,0.45625,0.230769230769231,0.266666666666667,0.351351351351351,0.263157894736842,0.333333333333333,0.238227146814404,NA,"15-16","duncati01","Wake Forest",0.72,0.515418502202643,1,0,0,0
"3977","Taj Gibson",0.461538461538462,"CHI",0.857142857142857,0.662650602409639,0.604651162790698,0.295081967213115,0.25,0.526,0,0,0,0.327272727272727,0.306306306306306,0.529,0.350666666666667,0.137254901960784,0.16260162601626,0.692,0.518518518518518,0.359649122807017,0.43125,0.128205128205128,0.2,0.297297297297297,0.192982456140351,0.416666666666667,0.238227146814404,NA,"15-16","gibsota01","Southern California",0.64,0.405286343612335,0,1,0,0
