Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Rushia Brown,CLE,F,28,511,28,3,511,64,123,0.52,0,0,,64,123,0.52,47,64,0.734,48,113,20,34,14,27,72,175
Janice Braxton,CLE,F,25,822,25,24,822,88,211,0.417,5,10,0.5,83,201,0.413,106,138,0.768,38,189,49,36,28,53,64,287
Cynthia Cooper*,HOU,G,28,982,28,28,982,191,406,0.47,67,162,0.414,124,244,0.508,172,199,0.864,33,111,131,59,6,109,68,621
Karen Booker,UTA,C,26,321,26,4,321,20,60,0.333,0,3,0,20,57,0.351,21,37,0.568,34,80,24,24,15,49,62,61
Ruthie Bolton,SAC,G,23,813,23,23,813,164,408,0.402,66,192,0.344,98,216,0.454,53,69,0.768,31,134,59,54,1,58,71,447
Rhonda Blades,NYL,G,28,290,28,0,290,25,70,0.357,17,54,0.315,8,16,0.5,13,20,0.65,6,21,30,14,1,39,55,80
Ryneldi Becenti,PHO,G,1,8,1,0,8,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,1,0,0
Elena Baranova,UTA,F,28,913,28,27,913,129,331,0.39,40,106,0.377,89,225,0.396,43,62,0.694,55,206,62,43,63,82,82,341
Marlies Askamp,PHO,C,28,517,28,1,517,70,178,0.393,0,1,0,70,177,0.395,71,93,0.763,66,145,23,22,9,46,59,211
Katasha Artis,CHA,F,20,113,20,0,113,4,16,0.25,0,1,0,4,15,0.267,8,15,0.533,1,16,8,6,1,12,13,16
Janeth Arcain,HOU,G,28,784,28,27,784,110,250,0.44,9,33,0.273,101,217,0.465,76,85,0.894,41,110,45,43,4,67,56,305
Yvette Angel,SAC,G,5,90,5,3,90,7,16,0.438,0,5,0,7,11,0.636,0,3,0,2,9,11,4,1,8,6,14
Monique Ambers,PHO,F,19,85,19,0,85,4,9,0.444,0,0,,4,9,0.444,6,15,0.4,10,20,4,0,2,7,13,14
Marcie Alberts,CLE,G,5,30,5,0,30,0,2,0,0,2,0,0,0,,0,0,,0,1,3,2,0,3,2,0
Denique Graves,SAC,C,22,86,22,0,86,6,27,0.222,0,0,,6,27,0.222,4,8,0.5,3,15,0,0,6,12,15,16
Tammy Jackson,HOU,F-C,28,545,28,3,545,45,110,0.409,0,1,0,45,109,0.413,25,41,0.61,42,116,12,45,10,49,84,115
Susie Hopson-Shelton,CHA,F,6,29,6,0,29,7,11,0.636,0,0,,7,11,0.636,2,2,1,1,5,1,1,0,2,3,16
Jessie Hicks,UTA,C-F,26,263,26,0,263,37,80,0.463,0,1,0,37,79,0.468,9,16,0.563,17,36,10,13,11,12,57,83
Dena Head,UTA,G,27,471,27,4,471,53,136,0.39,10,32,0.313,43,104,0.413,38,45,0.844,22,63,46,14,8,61,45,154
Fran Harris,HOU,G-F,25,369,25,1,369,37,107,0.346,8,24,0.333,29,83,0.349,22,31,0.71,16,56,25,17,3,29,27,104
Kym Hampton,NYL,C,28,663,28,28,663,100,211,0.474,0,1,0,100,210,0.476,73,114,0.64,52,163,38,39,19,49,68,273
Wanda Guyton,HOU,C,25,668,25,25,668,57,122,0.467,0,0,,57,122,0.467,38,68,0.559,76,136,12,26,8,43,83,152
Lady Grooms,UTA,F,28,691,28,24,691,58,167,0.347,1,10,0.1,57,157,0.363,36,55,0.655,33,84,67,23,2,79,39,153
Tajama Abraham,SAC,C,28,422,28,5,422,48,126,0.381,0,0,,48,126,0.381,26,38,0.684,32,67,13,12,12,49,70,122
Bridgette Gordon,SAC,F,28,981,28,28,981,135,312,0.433,11,40,0.275,124,272,0.456,84,107,0.785,67,135,78,39,9,83,58,365
Jennifer Gillom,PHO,F-C,28,874,28,28,874,163,376,0.434,20,64,0.313,143,312,0.458,94,121,0.777,44,150,22,36,15,58,93,440
Kim Gessig,LAS,F,1,4,1,0,4,0,0,,0,0,,0,0,,0,0,,0,1,0,0,0,1,2,0
Pietra Gay,HOU,G-F,5,12,5,0,12,1,2,0.5,0,0,,1,2,0.5,2,5,0.4,0,3,2,1,0,4,3,4
